trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.75, 'e': 0.3627650135239538}",20,12,3.29112618872154,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.75, 'e': 0.36059494017307886}",35,0,-33.52307980624597,"{0: 29, 1: 1, 2: 3, 3: 2, 4: 0}",0
171,False,"{'a': 0.75, 'e': 0.35843784827899444}",20,7,-21.635583873901982,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
172,False,"{'a': 0.75, 'e': 0.3562936601861594}",35,22,-71.53368016219875,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
173,False,"{'a': 0.75, 'e': 0.3541622987035708}",20,12,15.73752486644026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.75, 'e': 0.35204368710198514}",25,0,1.9925108995525806,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 0.3499377491111559}",30,2,15.06075282836163,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.75, 'e': 0.34784440891708795}",20,0,-55.419220587022416,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
177,False,"{'a': 0.75, 'e': 0.3457635911593083}",20,16,5.955756665202507,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.3436952209281529}",20,5,2.4265339826236145,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.75, 'e': 0.34163922376207007}",20,5,-4.077921041115619,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
180,False,"{'a': 0.75, 'e': 0.3395955256449397}",20,3,-157.8011226971028,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 3}",1
181,False,"{'a': 0.75, 'e': 0.33756405300340897}",20,15,9.460920675322331,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.75, 'e': 0.3355447327042433}",25,8,-9.55478463664911,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
